Word,Frequency
Público,206
Personas,202
Derechos,151
España,125
Años,104
Pública,100
Grandes,92
Acceso,91
Mujeres,85
Hacia,76
Sistema,73
Servicios,69
Ley,65
Horas,64
País,58
Empresas,55
Tiempo,51
Sector,49
Derecho,48
Personal,48
Social,47
Plan,47
Millones,46
Garantizar,42
Parte,39
Estado,38
Solo,37
Economía,37
Mismo,37
Euros,36
