Word,Frequency
Madrid,255
Servicios,229
Comunidad,191
Madrileños,134
Objetivo,121
Región,106
Educación,101
Atención,100
Jóvenes,90
Mejora,85
Personas,79
Municipios,67
Centros,61
Empleo,59
Plan,58
Situación,57
Formación,55
Programa,52
Social,51
Familias,51
Marcha,48
Medidas,47
Empresas,47
Garantizar,46
Partido,45
Crearemos,44
Forma,44
Red,43
Popular,43
Libertad,42
