Word,Frequency
Vida,4
Sociales,4
Salud,4
Proteger,4
Elegir,4
Barrios,4
Ayudas,3
Familias,3
Defensa,3
Públicos,3
Protección,3
Nacionales,3
Gobierno,2
Garantizar,2
Forma,2
Abandono,2
Empleo,2
Eliminar,2
Graves,2
Derecho,2
Educación,2
Leves,2
Homosexuales,2
Inmediata,2
Laboral,2
Combatir,2
Leyes,2
Libertad,2
Mejora,2
Mujer,2
