character_id,raw_character_text
279.0,Investigator #2
280.0,Investigator #3
281.0,Make-up Man
282.0,Gregor
283.0,GAMMILL
284.0,FLASH
285.0,Player #1
286.0,P.A. Announcer
288.0,Dan Hoard
289.0,Vendor
290.0,VENDER
291.0,MR. O'HARA
292.0,Man On Bus
293.0,Player #2
294.0,Rasta #1
295.0,Rasta #2
296.0,Supervisor
297.0,Tony Bennett
298.0,Capital City Goofball
299.0,Dave Glass
300.0,First Wife #3
301.0,First Wife #1
302.0,Hot Dog Man
303.0,Spectator #1
304.0,Spectator #2
305.0,Spectator #3
306.0,Clubhouse Attendant
307.0,Dave Rosenfield
308.0,Maude Flanders
309.0,Helen Lovejoy
310.0,Librarian
311.0,Man
312.0,SENIOR CITIZENS
313.0,British Commentator
314.0,Announcer #2
315.0,Mrs. Spencer
316.0,Security Guard #1
317.0,Casey
318.0,Rory
319.0,Transient
320.0,Uncle Sam
321.0,Audience
322.0,Tv Voice #1
323.0,Tv Voice #2
324.0,Tv Voice #3
325.0,ALL THREE TV VOICES
326.0,ALL 3 ANNOUNCERS
327.0,LARGO
328.0,SCRAPER
329.0,CLARK
330.0,Track Announcer
331.0,MURDOCK
332.0,Dr. Julius Hibbert
333.0,SMYTHE
334.0,Itchy & Scratchy Singers
335.0,"Roger Meyers, Jr."
336.0,Her Group
337.0,Animator
338.0,1ST BOARD MEMBER
339.0,2nd Board Member
340.0,Squirrel
342.0,Scratchy
343.0,Itchy
344.0,Curator
345.0,Reporter
346.0,Devil
347.0,Lionel Hutz
348.0,Della
349.0,Dr. Nick Riviera
350.0,Bailiff
351.0,Blue-Haired Lawyer
352.0,BURNS LAWYER
353.0,Larry
354.0,Sushi Bar Chefs
355.0,Hostess
356.0,Akira
357.0,Toshiro
358.0,Master
359.0,Richie Sakai
360.0,Cellmate
361.0,Crazy Calls
362.0,Smitty
363.0,Larry King
364.0,LARRY KING V.O.
365.0,Bald One
366.0,Police Captain
368.0,Fat One
369.0,Kim
370.0,Principal Dondelinger
371.0,Estelle
372.0,MCINTYRE
373.0,Artie Ziff
374.0,Mrs. Bloominstein
375.0,Coach Flanagan
376.0,Mr. Seckofsky
377.0,Mr. Bouvier
378.0,Chauffeur
379.0,PRINCIPAL
380.0,Homer The Thief
381.0,Hezron
382.0,Zohar
383.0,Moses
384.0,Cable Guy
385.0,Comic
386.0,Woman #1
387.0,Woman #2
388.0,Mexican Announcer
389.0,Representative
390.0,Cockfight Announcer
391.0,Davey
392.0,Goliath
394.0,Panelist #1
395.0,Blockbuster Announcer
396.0,Top Hat Announcer
397.0,Stock Reporter
398.0,Boxing Announcer #1
399.0,Boxing Announcer #2
400.0,Challenger
401.0,Referee
402.0,Kindly Old Gent
403.0,Stanley
404.0,Groundskeeper Willie
405.0,Busboy
406.0,Australian Boy
407.0,Australian Girl
408.0,Jeweler
409.0,Senator Mendoza
410.0,Board Member
411.0,Female Commando
412.0,Theatre Manager
413.0,Floozy
414.0,Mona Simpson
416.0,Attendant
417.0,HERB
418.0,Policeman
419.0,Executive #2
420.0,Head Engineer
421.0,Engineer #2
422.0,Engineer #3
423.0,Female Singer
424.0,Counter Man
425.0,Flanders's Thoughts
426.0,TROY
427.0,Emily
428.0,Kelly
429.0,Jack
430.0,Father McGrath
431.0,Salesboy
432.0,Hula Woman
433.0,Farmer
434.0,BEA
435.0,Checker
436.0,Guard
437.0,Tracker
438.0,Mr. Hazelwood
439.0,Cabbie
440.0,KENT
441.0,MONROE
442.0,Professor Jonathan Frink
443.0,Old Man Daly
444.0,Old Man McGrath
445.0,Plato
446.0,Croupier
447.0,Recorded Announcer
448.0,Old Woman In Line
449.0,Monitor #1
450.0,Monitor #2
451.0,Female Newscaster
452.0,Mr. Schindler
453.0,Student
454.0,Registrar
455.0,Professor Lombardo
456.0,BART & LISA
457.0,Artist
458.0,Delivery Man
