Word,Frequency
Madrid,321
Más,156
Ayuso,74
Iglesias,72
García,66
Mayo,43
Elecciones,41
Aunque,39
Cataluña,39
Candidata,37
Mónica,36
Ciudadanos,36
Psoe,34
Comunidad,33
Podemos,30
Partido,28
Censura,24
Campaña,24
Mociones,22
Vox,17
Gobierno,15
Unidas,15
Vamos,14
Personas,13
Pablo,12
Pp,11
Errejón,11
Menos,11
Ser,10
Voto,10
