Word,Frequency
Psoe,342
Gabilondo,256
Murcia,112
Ciudadanos,96
Pp,91
Madrid,86
Moción,78
Vox,77
Más,77
Socialista,72
Gobierno,66
Podemos,64
Censura,62
Candidato,61
Ángel,54
Sánchez,49
Partido,47
Díaz,45
Elecciones,34
Ayuso,32
Iglesias,31
Unidas,31
Campaña,25
Castilla,20
Popular,20
León,20
Comunidad,17
Izquierda,17
Adelante,16
Pide,16
