Word,Frequency
Pp,568
Ayuso,496
Gobierno,275
Partido,215
Ciudadanos,161
Madrid,155
Díaz,141
Psoe,107
Vox,106
Iglesias,101
Pablo,79
Acusa,76
Popular,68
Más,66
Isabel,64
B,59
Comunidad,56
Moción,54
Cantó,53
Elecciones,52
Candidata,47
Murcia,43
Censura,41
Podemos,40
Sánchez,35
Señora,33
Electoral,33
Presidenta,30
Asegura,29
Campaña,26
