Word,Frequency
Vox,347
Gobierno,90
Campaña,82
Pp,76
Madrid,75
Podemos,67
Candidata,56
Ciudadanos,54
Izquierda,48
Pablo,38
Iglesias,34
Monasterio,31
Acto,30
Ayuso,29
Psoe,29
Diputados,27
Partido,19
Abascal,18
Expulsados,18
Unidas,17
Comunidad,16
Voto,15
Rocío,15
Votos,14
Elecciones,14
Moción,13
Cartel,13
Vallecas,12
Mano,12
Asegura,11
