Word,Frequency
Iglesias,428
Podemos,352
Madrid,214
Pablo,203
Vox,176
Gobierno,151
Unidas,150
Sánchez,129
Psoe,64
Gabilondo,62
Elecciones,60
Candidato,57
Pp,51
Díaz,36
Ayuso,34
Ser,33
Ministros,32
Comunidad,30
Amenazas,28
Directora,28
Ciudadanos,27
Civil,27
Guardia,26
Ministro,26
Partido,26
General,24
Consejo,24
Interior,23
Campaña,23
Electoral,21
